enable_search,enable_checkout,id,gtin/mpn,title,description,link,condition,product_category,brand,material,weight,image_link,additional_image_link,video_link,price,sale_price_effective_date,availability,availability_date,inventory_quantity,item_group_id,item_group_title,shipping,delivery_estimate,seller_name,seller_url,seller_privacy_policy,seller_tos,return_policy,return_window,popularity_score,return_rate,warning_url
true,true,OPGC001,1000000000001,OpenAI $50 Gift Card,Give the perfect gift with a OpenAI digital gift card worth $50, redeemable for AI services.,https://example.com/giftcards/openai-50-giftcard,new,Gift Cards > Digital,OpenAI,Digital Code,0.01 lb,https://example.com/images/openai_50.jpg,https://example.com/images/openai_50_alt.jpg,https://example.com/videos/openai_intro.mp4,50.00 USD,2025-11-01 / 2025-12-28,in_stock,2025-11-19,659,OPGC2025GROUP,OpenAI Gift Cards,US:ALL:Standard:0.00 USD,2025-11-05,OpenAI Store,https://example.com/openai,https://example.com/openai/privacy,https://example.com/openai/terms,https://example.com/openai/returns,30,4.9,3%,https://example.com/warnings/openai-giftcard
true,true,TEGC002,1000000000002,TechNova $75 Gift Card,Give the perfect gift with a TechNova digital gift card worth $75, redeemable for AI services.,https://example.com/giftcards/technova-75-giftcard,new,Gift Cards > Physical,TechNova,Plastic Card,0.01 lb,https://example.com/images/technova_75.jpg,https://example.com/images/technova_75_alt.jpg,https://example.com/videos/technova_intro.mp4,75.00 USD,2025-11-01 / 2025-12-25,in_stock,2025-11-06,847,TEGC2025GROUP,TechNova Gift Cards,US:ALL:Standard:0.00 USD,2025-11-05,TechNova Store,https://example.com/technova,https://example.com/technova/privacy,https://example.com/technova/terms,https://example.com/technova/returns,30,4.7,1%,https://example.com/warnings/technova-giftcard
true,true,CAGC003,1000000000003,CodeVerse $100 Gift Card,Give the perfect gift with a CodeVerse digital gift card worth $100, redeemable for AI services.,https://example.com/giftcards/codeverse-100-giftcard,new,Gift Cards > Digital,CodeVerse,Digital Code,0.01 lb,https://example.com/images/codeverse_100.jpg,https://example.com/images/codeverse_100_alt.jpg,https://example.com/videos/codeverse_intro.mp4,100.00 USD,2025-11-01 / 2025-12-17,preorder,2025-11-09,774,CAGC2025GROUP,CodeVerse Gift Cards,US:ALL:Standard:0.00 USD,2025-11-05,CodeVerse Store,https://example.com/codeverse,https://example.com/codeverse/privacy,https://example.com/codeverse/terms,https://example.com/codeverse/returns,30,4.6,4%,https://example.com/warnings/codeverse-giftcard
true,true,MIGC004,1000000000004,MindBot $25 Gift Card,Give the perfect gift with a MindBot digital gift card worth $25, redeemable for AI services.,https://example.com/giftcards/mindbot-25-giftcard,new,Gift Cards > Physical,MindBot,Plastic Card,0.01 lb,https://example.com/images/mindbot_25.jpg,https://example.com/images/mindbot_25_alt.jpg,https://example.com/videos/mindbot_intro.mp4,25.00 USD,2025-11-01 / 2025-12-18,in_stock,2025-11-04,582,MIGC2025GROUP,MindBot Gift Cards,US:ALL:Standard:0.00 USD,2025-11-05,MindBot Store,https://example.com/mindbot,https://example.com/mindbot/privacy,https://example.com/mindbot/terms,https://example.com/mindbot/returns,30,4.8,2%,https://example.com/warnings/mindbot-giftcard
true,true,AIGC005,1000000000005,AIForge $150 Gift Card,Give the perfect gift with a AIForge digital gift card worth $150, redeemable for AI services.,https://example.com/giftcards/aiforge-150-giftcard,new,Gift Cards > Digital,AIForge,Digital Code,0.01 lb,https://example.com/images/aiforge_150.jpg,https://example.com/images/aiforge_150_alt.jpg,https://example.com/videos/aiforge_intro.mp4,150.00 USD,2025-11-01 / 2025-12-22,in_stock,2025-11-02,721,AIGC2025GROUP,AIForge Gift Cards,US:ALL:Standard:0.00 USD,2025-11-05,AIForge Store,https://example.com/aiforge,https://example.com/aiforge/privacy,https://example.com/aiforge/terms,https://example.com/aiforge/returns,30,4.5,5%,https://example.com/warnings/aiforge-giftcard
true,true,TEGC006,1000000000006,TechNova $200 Gift Card,Give the perfect gift with a TechNova digital gift card worth $200, redeemable for AI services.,https://example.com/giftcards/technova-200-giftcard,new,Gift Cards > Digital,TechNova,Digital Code,0.01 lb,https://example.com/images/technova_200.jpg,https://example.com/images/technova_200_alt.jpg,https://example.com/videos/technova_intro.mp4,200.00 USD,2025-11-01 / 2025-12-26,preorder,2025-11-22,918,TEGC2025GROUP,TechNova Gift Cards,US:ALL:Standard:0.00 USD,2025-11-05,TechNova Store,https://example.com/technova,https://example.com/technova/privacy,https://example.com/technova/terms,https://example.com/technova/returns,30,4.9,2%,https://example.com/warnings/technova-giftcard
true,true,CAGC007,1000000000007,CodeVerse $50 Gift Card,Give the perfect gift with a CodeVerse digital gift card worth $50, redeemable for AI services.,https://example.com/giftcards/codeverse-50-giftcard,new,Gift Cards > Physical,CodeVerse,Plastic Card,0.01 lb,https://example.com/images/codeverse_50.jpg,https://example.com/images/codeverse_50_alt.jpg,https://example.com/videos/codeverse_intro.mp4,50.00 USD,2025-11-01 / 2025-12-19,in_stock,2025-11-11,446,CAGC2025GROUP,CodeVerse Gift Cards,US:ALL:Standard:0.00 USD,2025-11-05,CodeVerse Store,https://example.com/codeverse,https://example.com/codeverse/privacy,https://example.com/codeverse/terms,https://example.com/codeverse/returns,30,4.7,1%,https://example.com/warnings/codeverse-giftcard
true,true,MIGC008,1000000000008,MindBot $75 Gift Card,Give the perfect gift with a MindBot digital gift card worth $75, redeemable for AI services.,https://example.com/giftcards/mindbot-75-giftcard,new,Gift Cards > Digital,MindBot,Digital Code,0.01 lb,https://example.com/images/mindbot_75.jpg,https://example.com/images/mindbot_75_alt.jpg,https://example.com/videos/mindbot_intro.mp4,75.00 USD,2025-11-01 / 2025-12-15,in_stock,2025-11-07,581,MIGC2025GROUP,MindBot Gift Cards,US:ALL:Standard:0.00 USD,2025-11-05,MindBot Store,https://example.com/mindbot,https://example.com/mindbot/privacy,https://example.com/mindbot/terms,https://example.com/mindbot/returns,30,4.8,3%,https://example.com/warnings/mindbot-giftcard
true,true,AIGC009,1000000000009,AIForge $100 Gift Card,Give the perfect gift with a AIForge digital gift card worth $100, redeemable for AI services.,https://example.com/giftcards/aiforge-100-giftcard,new,Gift Cards > Digital,AIForge,Digital Code,0.01 lb,https://example.com/images/aiforge_100.jpg,https://example.com/images/aiforge_100_alt.jpg,https://example.com/videos/aiforge_intro.mp4,100.00 USD,2025-11-01 / 2025-12-21,preorder,2025-11-15,734,AIGC2025GROUP,AIForge Gift Cards,US:ALL:Standard:0.00 USD,2025-11-05,AIForge Store,https://example.com/aiforge,https://example.com/aiforge/privacy,https://example.com/aiforge/terms,https://example.com/aiforge/returns,30,4.6,2%,https://example.com/warnings/aiforge-giftcard
true,true,OPGC010,1000000000010,OpenAI $25 Gift Card,Give the perfect gift with a OpenAI digital gift card worth $25, redeemable for AI services.,https://example.com/giftcards/openai-25-giftcard,new,Gift Cards > Digital,OpenAI,Digital Code,0.01 lb,https://example.com/images/openai_25.jpg,https://example.com/images/openai_25_alt.jpg,https://example.com/videos/openai_intro.mp4,25.00 USD,2025-11-01 / 2025-12-31,in_stock,2025-11-28,660,OPGC2025GROUP,OpenAI Gift Cards,US:ALL:Standard:0.00 USD,2025-11-05,OpenAI Store,https://example.com/openai,https://example.com/openai/privacy,https://example.com/openai/terms,https://example.com/openai/returns,30,4.9,1%,https://example.com/warnings/openai-giftcard
